job_name,salary,job_exp,skills,job_degree,city,welfare,company
UI设计师,8-9K·13薪,1-3年,"['移动端', 'PC端', 'Android', '小程序', 'PhotoShop']",大专,常州,"['五险一金', '餐补', '节日福利']",万臻生态科技有限公司
UI设计师,5-10K,1-3年,['UI设计'],本科,福州,null,查克拉网络
ui设计师,6-10K,1-3年,"['视觉设计', '界面设计', 'PS', 'Flash']",大专,惠州,"['五险一金', '全勤奖', '包住', '节日福利', '员工旅游', '年终奖', '包吃']",联创三金
UI设计师,5-6K,1-3年,"['客户端', '网页端', '平面设计', 'AI', 'PS']",学历不限,烟台,['交通补助'],易车联科技
UI设计师,4-6K,3-5年,"['手绘', '移动端', 'PC端', 'PhotoShop']",本科,忻州,"['餐补', '五险一金', '股票期权', '通讯补贴']",山西良匠建设工程...
UI设计师,3-4K,1-3年,"['平面设计', 'UI设计', '网页设计', '交互体验设计', '全职']",本科,眉山,null,易链科技
UI设计师,2-7K,1-3年,"['餐饮', 'UI设计', '交互体验设计', '视觉设计']",本科,贵阳,null,三心华仔餐饮服务店
UI设计师,18-28K·13薪,5-10年,"['移动端', 'UI设计', '交互体验设计', 'AE', 'SKetch']",本科,深圳,"['五险一金', '带薪年假', '定期体检', '年终奖', '股票期权', '免费班车', '零食下午茶']",高驰运动科技股份
UI设计师,7-9K,3-5年,"['JavaScript', 'HTML', 'DataV']",大专,宁波,"['带薪年假', '免费班车', '餐补', '通讯补贴', '五险一金', '股票期权', '节日福利']",云狐时代
UI设计师,6-11K,3-5年,"['手绘', '视觉设计', '移动端', '交互体验设计', 'UI设计']",大专,青岛,"['员工旅游', '五险一金', '全勤奖', '节日福利', '年终奖', '交通补助', '零食下午茶', '带薪年假', '包吃', '通讯补贴']",青岛小二哥科技
UI设计师,5-9K,1-3年,"['视觉设计', '移动端', 'PC端', 'PhotoShop', '交互体验设计']",本科,南阳,['五险一金'],南阳大旗电商
UI设计师,4-8K,在校/应届,"['交互设计', '原型设计', '视觉设计', '客户端', '移动端']",大专,贵阳,"['五险一金', '餐补', '交通补助']",喜马拉雅贵州公司
UI设计师,4-7K,1-3年,"['UI', '网页设计']",大专,青岛,"['股票期权', '员工旅游', '带薪年假', '零食下午茶', '补充医疗保险', '通讯补贴', '年终奖', '五险一金']",投道科技
ui设计师,8-13K·13薪,3-5年,"['视觉设计', '客户端', '网页端', '平面设计', '图标设计']",本科,济南,"['五险一金', '加班补助', '节日福利', '通讯补贴', '带薪年假', '定期体检']",广州瀚信
UI设计师,5-7K·14薪,1-3年,"['视觉设计', '移动端', 'Web端', 'PhotoShop', 'Dreamweaver']",大专,烟台,"['带薪年假', '五险', '双休', '全勤奖']",中弘
UI设计师,6-10K,1-3年,"['网页设计', '平面设计', 'Web端', 'PhotoShop', 'Dreamweaver']",本科,北京,['五险一金'],家福民康
UI设计师,6-8K,1-3年,"['视觉设计', '客户端', '网页端', '移动端', 'AI']",大专,中山,"['员工旅游', '五险一金']",广东聚源创建
UI设计师,4-9K,经验不限,"['交互体验设计', '网页设计', 'PhotoShop', 'AI软件', 'SKetch']",大专,菏泽,['加班补助'],东明县聚成光电工...
UI设计师,11-22K,3-5年,"['PC端', '移动端', '视觉设计', '网页设计', 'UI设计']",本科,东莞,null,韬略
UI设计师,5-10K,经验不限,['UI设计'],学历不限,绥化,['加班补助'],数源科技
UI设计师,5-6K,1年以内,"['PhotoShop', 'AE', '人工智能', 'Android', 'AI']",本科,邢台,null,恒泽华特
UI设计师,5-8K,3-5年,"['交互设计', '原型设计', '视觉设计', '网页端', '手绘']",本科,大连,"['全勤奖', '定期体检', '五险一金', '年终奖', '股票期权']",锦诺科技
UI设计师,4-6K,经验不限,"['UI', '用户体验', '网页交互']",本科,泰州,"['五险一金', '股票期权', '加班补助', '员工旅游']",苏吴
UI设计师,7-11K,1-3年,"['移动交互', '网页交互', '手绘']",本科,北京,null,阿泰艺科
UI设计师,4-6K,1-3年,"['PC端', '移动端', '视觉设计', 'UI设计', '交互体验设计']",大专,合肥,null,旷微
UI设计师,60-70元/天,5天/周,"['视觉设计', '移动端', '小程序', 'Web端', 'AI']",6个月,重庆,"['餐补', '全勤奖', '股票期权', '员工旅游', '零食下午茶', '五险一金', '带薪年假']",迪牛科技
UI设计师,18-25K·13薪,3-5年,"['手游', 'Q版', '欧美风']",大专,北京,"['补充医疗保险', '年终奖', '带薪年假', '餐补', '交通补助', '零食下午茶', '节日福利']",6waves
UI设计师,7-12K,3-5年,"['Android', '移动端', '视觉设计', 'UI设计', '交互体验设计']",本科,苏州,"['带薪年假', '年终奖', '全勤奖']",托特科技
UI设计师,7-12K,1-3年,"['UI设计', '视觉设计', '移动端', 'PhotoShop', 'AE']",本科,武汉,['五险一金'],武汉绘事后素教育...
UI设计师,60-70元/天,5天/周,"['PhotoShop', 'UI设计', '动效设计']",2个月,南昌,null,布尔科技
UI设计师,8-13K·15薪,3-5年,"['交互设计', '三维设计', '动效设计', 'AI', 'AE']",本科,武汉,"['五险一金', '定期体检', '年终奖', '节日福利', '免费班车', '带薪年假', '包吃']",立得空间
UI设计师,12-20K·13薪,1-3年,"['交互设计', '游戏端']",本科,广州,"['零食下午茶', '员工旅游', '绩效奖金', '餐补', '团建聚餐', '节日福利', '年终奖', '带薪年假', '交通补助', '五险一金']",BBGAME
UI设计师,15-20K,1-3年,"['PC端', '移动端', '视觉设计', 'UI设计', '交互体验设计']",本科,北京,"['带薪年假', '股票期权']",青日浮屿
UI设计师,15-30K,3-5年,"['移动端', '视觉设计', 'UI设计', '交互体验设计', 'PhotoShop']",大专,北京,['节日福利'],樱果文化
UI设计师,3-6K,1年以内,"['UI', '网页设计', 'App设计']",本科,北京,null,北京国贝
UI设计师,6-9K,1-3年,"['视觉设计', '移动端', 'PC端', '小程序', 'HTML']",大专,苏州,"['年终奖', '节日福利', '五险一金', '餐补', '交通补助', '股票期权', '住房补贴', '员工旅游', '补充医疗保险', '通讯补贴']",企优托集团
UI设计师,8-12K,1-3年,"['视觉设计', '客户端', '动效设计', '平面设计', '图标设计']",本科,武汉,"['餐补', '股票期权', '带薪年假', '员工旅游', '五险一金', '定期体检', '节日福利']",盒马鲜生
UI设计师,3-8K,1-3年,"['UI设计', '移动端', '小程序', '美工']",大专,石家庄,"['年终奖', '通讯补贴', '加班补助', '五险一金']",让道科技
UI设计师,6-8K·13薪,1-3年,"['移动端', 'PC端', 'CorelDRAW', '计算机软件', '交互体验设计']",大专,上饶,"['零食下午茶', '带薪年假', '团建聚餐', '生日福利', '员工旅游', '五险一金', '定期体检', '节日福利']",云牛科技
UI设计师,6-8K,1-3年,"['App设计', '移动交互', '平面设计']",本科,北京,null,有可能学院
UI设计师,6-8K,1-3年,"['交互体验设计', '移动端', '网页设计', '平面设计', 'PhotoShop']",大专,常州,['五险一金'],好涤电商
UI设计师,7-9K,1年以内,"['视觉设计', 'UI设计', '交互体验设计']",大专,重庆,['五险一金'],辉聪信息
UI设计师,35-45K,3-5年,"['移动端', 'UI设计', '动效设计', '网页设计', '设计师']",本科,广州,"['通讯补贴', '五险一金', '年终奖', '包吃', '餐补', '员工旅游', '补充医疗保险', '定期体检']",广发证券
UI设计师,6-8K,1-3年,"['交互设计', '客户端', '移动端', '网页端', '平面设计']",本科,青岛,"['五险一金', '有无线网', '加班补助', '保底工资']",青岛国科智维科技
UI设计师,6-7K,1年以内,"['视觉设计', '手绘', '移动端', 'Web端', '交互体验设计']",高中,成都,null,快来科技
UI设计师,12-18K·13薪,3-5年,"['视觉设计', '交互体验设计', '云计算', 'web']",本科,南京,"['通讯补贴', '餐补', '带薪年假', '五险一金', '定期体检', '节日福利']",南京苏宁软件
UI设计师,40-65K·14薪,1-3年,"['视觉设计', '设计主管', 'UI设计', '用户体验', '产品设计']",本科,上海,"['五险一金', '加班补助', '年终奖', '定期体检', '股票期权', '通讯补贴']",NIO蔚来
UI设计师,18-30K·14薪,3-5年,"['交互体验设计', '用户研究', '视觉设计']",本科,北京,"['年终奖', '餐补', '五险一金', '零食下午茶', '节日福利', '带薪年假']",北京河图
UI设计师,6-7K,1-3年,"['交互体验设计', '网页设计']",大专,天津,null,天津市津南区文亿...
UI设计师,5-10K,1-3年,['网页设计'],本科,成都,"['全勤奖', '五险一金', '加班补助', '股票期权', '补充医疗保险']",科达飞
UI设计师,1-2K,经验不限,"['交互体验设计', 'UI设计', '动效设计', '视觉设计', '网页设计']",大专,沈阳,"['零食下午茶', '员工旅游', '带薪年假', '年终奖', '交通补助', '节日福利', '五险一金']",沈阳市点燃教育
UI设计师,18-28K·15薪,3-5年,"['游戏界面', 'UI']",大专,上海,"['交通补助', '带薪年假', '包吃', '补充医疗保险', '员工旅游', '五险一金', '节日福利', '住房补贴', '定期体检']",波克城市
UI设计师,3-5K,经验不限,"['UI设计', '交互体验设计', '视觉设计', '移动端', 'PC端']",本科,长春,['定期体检'],有我工程
UI设计师,8-9K,3-5年,"['Dreamweaver', '视觉设计', '手绘', 'UI设计', '交互体验设计']",本科,北京,null,顺晟科技
UI设计师,18-28K,3-5年,"['视觉设计', '交互体验设计', '平面设计']",本科,北京,"['零食下午茶', '年终奖', '交通补助', '加班补助']",华维顿
UI设计师,15-25K,3-5年,['美术设计师'],大专,北京,null,友乐
UI设计师,7-12K,1-3年,"['手绘', 'UI设计']",大专,福州,"['年终奖', '五险一金', '员工旅游', '团建聚餐', '零食下午茶', '节日福利', '定期体检', '股票期权']",点亮网络
